ID;Nimi;Osoite;x;y
263;Herttoniemen kirkko;Karhutie 11;25.0322254160118;60.1984720937284
264;Eränkävijäntori;Hiihtomäentie 39;25.0336255327162;60.2045796219055
265;Siilitie 9;Siilitie 12;25.0375268074421;60.209453145538
266;Siilitie 13;Sopulirinne 2;25.0438403800837;60.2150936967815
267;Roihupelto;Viilarintie 6;25.0550878014734;60.2093671231044
268;Porolahden koulu;Roihuvuorentie 6b;25.0535809447117;60.1955233353498
269;Peukaloisentie;Untuvaisentie 2;25.0585469211702;60.1987082869369
270;Tulisuontie;Roihuvuorentie 25;25.0600755207072;60.2020741769704
271;Prinsessantie;Prinsessantie 2;25.059863346683;60.2062943134753
272;Marjaniementie;Rakettipolku 5;25.076069360708;60.2043248841061
274;Voikukantie;Kauppakartanonkatu 10;25.0867813029403;60.2090159546746
275;Itäkeskus (M);Tallinnanaukio 2;25.0759744433382;60.2096186210914
276;Puotinharju;Turunlinnantie 4;25.0824161004374;60.2125560259595
277;Marjaniemi;Marjaniementie 23;25.0863443649103;60.2036199297435
278;Puotilantie;Puotilantie 4;25.1004180257133;60.2090787864561
279;Puotinkylän kartano;Puotilantie 12;25.1062099916086;60.2125374414988
280;Puotilan ostoskeskus;Klaavuntie 11;25.0955595128971;60.2127005636951
281;Puotila (M);Vanhanlinnantori;25.0910915854205;60.2148242972699
282;Karhulantie;Kiviportintie 2;25.1022019197012;60.2187064270041
283;Alakiventie;Alakiventie 4;25.0772822325582;60.2198397844715
284;Myllypuro (M);Kivensilmänkuja 1;25.0753901685843;60.2240882550803
285;Orpaanporras;Orpaanporras 14;25.0654178214231;60.22354882948
286;Mamsellimyllynkatu;Mamsellimyllynkatu 26;25.0591030723076;60.2182457763173
290;Vallilan varikko;Hämeentie 86;24.9628231422149;60.1952459460233
291;Itäkeskus Metrovarikko;Metrovarikonkuja 6;25.0657818190343;60.2114607347613
292;Koskelan varikko;Valtimontie 10;24.9698571193553;60.2125872907979
293;Korkeasaari;Mustikkamaanpolku 12;24.9825269338023;60.1799061320186
294;Postipuisto;Niittylänpolku 16;24.9337369553808;60.2203012590912
301;Aurinkotuulenkatu;Solvikinkatu 21;25.1593463483962;60.202773395376
302;Sumukuja;Sumukuja 2;25.1584093750563;60.2054467315293
303;Leikosaarentie;Leikosaarentie 25;25.1515462608624;60.2046812958719
304;Aurinkolahdenaukio;Aurinkoranta 8;25.1501135293384;60.2011360782064
305;Kalkkihiekantie;Kalkkihiekantie 1;25.1430402936212;60.202124196154
306;Kauppakeskus Columbus;Valkopaadentie 1;25.1455043565057;60.2063719022092
315;Vuosaaren liikuntapuisto;Pallokuja 4;25.1534645734222;60.2122976062757
308;Mosaiikkitori;Mosaiikkitori 1;25.143852587603;60.2079753561922
309;Kaivonkatsojanpuisto;Kaivonkatsojantie 5;25.1359993335263;60.2044047701442
310;Halkaisijantie;Halkaisijantie 4;25.1279098203443;60.2023869312805
311;Ramsinniementie;Ramsinniementie 1;25.1199060794359;60.1995636503578
312;Meri-Rastilan tori;Meri-Rastilan kuja 2;25.1194224144705;60.2041542257304
313;Rastila (M);Karavaanisilta 3;25.1201408621083;60.2055354689175
314;Lokitie;Vuosaarentie 1;25.1365036011866;60.2095580685415
316;Punakiventie;Punakiventie 12;25.1467500568672;60.2140014852962
317;Haapasaarentie;Marielundinaukio 1;25.146787178183;60.2187766341847
318;Vuosaaren puistopolku;Mustalahdenpolku 2;25.1410953624725;60.221320897051
319;Purjetie;Kallvikintie;25.1338286912921;60.2196483224979
320;Koukkusaarentie;Kallvikintie;25.1342325127583;60.213980722047
321;Vartioharjuntie;Vartioharjuntie 13;25.110914414719;60.2208894708644
322;Rukatunturintie;Mellunmäentie 27;25.1275969785102;60.2312813452731
323;Sallatunturintie;Sallatunturintie 2;25.118300016596;60.2367409143469
325;Mellunmäki (M);Pallaksentie 3;25.1098747367064;60.2385353540219
324;Sinkilätie;Untamalantie 2;25.1110602327979;60.2329614527257
327;Humikkalankuja;Rintinpolku 2;25.0900641525363;60.2298249948271
328;Lallukankuja;Lallukankuja 1;25.082971174464;60.2235265780465
329;Kurkimäki;Kurkimäentie 3;25.0716416497357;60.2282903943644
330;Kontula (M);Kontulankaari 1;25.0826095549619;60.2360953526154
326;Tuukkalantie;Aarteenetsijäntie 10;25.1007232150956;60.2388442456374
331;Lettopolku;Lettopolku 2;25.0855297731565;60.240913939764
332;Kontulankaari;Kontulankaari 7;25.076226580763;60.2438416352054
333;Kivikonkaari;Kontulankaari 8, toinen puoli;25.0746433427518;60.2399042915928
